项目,发布时间,供应商（乙方）,法定代表人,联系方式,合同金额（元）
关于制冷空调设备的框架协议合同公告,2025-07-02 16:10:20,上海中飞办公设备有限公司,许大山(男),18116032368,2750.00
关于开展2025年财政政策成本预算绩效评价咨询服务的框架协议合同公告,2025-07-02 15:59:20,上海云拓管理咨询有限公司,顾美娟(女),021-23110591,384000.00
上海市疾病预防控制中心公共卫生在线教育电子化课程制作及培训（0025- 00011879 等编号）的合同公告,2025-07-02 15:59:18,健康云（上海）数字科技有限公司,杨海燕(女),18621562797,1420000.00
关于资产评估服务的框架协议合同公告,2025-07-02 15:54:08,上海三联资产评估有限公司,尹丽娜(女),15201700758,13000.00
关于碎纸机的框架协议合同公告,2025-07-02 15:49:47,上海长城电子信息网络有限公司,卢树贞(女),021-52065968,3918.00
生活园区保洁保绿综合服务公告,2025-07-02 15:45:44,上海新世纪房产服务有限公司,沈宏庆(男),021-68863886,7357985.12
关于制冷空调设备的框架协议合同公告,2025-07-02 15:39:35,上海予发办公设备有限公司,许大江(男),13788913720,7080.00
关于会计审计的框架协议合同公告,2025-07-02 15:37:29,上海众安会计师事务所有限公司,蒋铭(男),021-61655060,5000.00
关于会计审计的框架协议合同公告,2025-07-02 15:36:15,上海众垚会计师事务所（普通合伙）,高瑾(女),021-23111545,318600.00
关于会计审计的框架协议合同公告,2025-07-02 15:35:27,上海众安会计师事务所有限公司,蒋铭(男),021-61655060,5000.00
关于会计审计的框架协议合同公告,2025-07-02 15:31:45,上海众安会计师事务所有限公司,蒋铭(男),021-61655060,5000.00
数据中心网络交换机增补设备的合同公告,2025-07-02 15:31:32,上海信管网络科技有限公司,黄学军(男),021-20684821,1776800.00
张江校区保洁保绿综合服务公告,2025-07-02 15:31:27,上海良联物业管理有限公司,英敏杰(男),021-51322024,5814996.00
关于制冷空调设备的框架协议合同公告,2025-07-02 15:31:26,上海石运办公用品有限公司,陈娜娜(女),021-38223209,89640.00
关于制冷空调设备的框架协议合同公告,2025-07-02 15:30:50,上海石运办公用品有限公司,陈娜娜(女),021-38223209,8610.00
关于会计审计的框架协议合同公告,2025-07-02 15:29:18,上海诚汇会计师事务所有限公司,张德华(男),021-23111545,307800.00
关于打印/复印纸的框架协议合同公告,2025-07-02 15:24:15,上海晨省商贸有限公司,郭彦国(男),18018857313,1344.00
关于打印/复印纸的框架协议合同公告,2025-07-02 15:23:27,上海晨省商贸有限公司,郭彦国(男),18018857313,3584.00
文物普查空间数据制备及成果汇总项目合同公告,2025-07-02 15:20:02,上海市测绘院,魏子新(男),021-23118253,4030000.00
上海明日之星排球争霸赛筹办的合同公告,2025-07-02 15:12:11,上海东浩兰生赛事管理有限公司,朱骏炜(男),无,3000000.00
关于会计审计的框架协议合同公告,2025-07-02 14:51:57,上海上咨会计师事务所有限公司,计安平(男),021-23111545,313500.00
关于物业管理服务的框架协议合同公告,2025-07-02 14:49:59,上海申勤物业管理服务有限公司,方舒阳(男),021-60801162,850000.00
关于预算绩效评价咨询服务的框架协议合同公告,2025-07-02 14:44:24,汉华评值（上海）资产评估有限公司,孔令迪(女),021-32529497,23000.00
关于打印/复印纸的框架协议合同公告,2025-07-02 14:38:41,上海长盈办公设备有限公司,沈静(女),02168189955,16000.00
关于显示器的框架协议合同公告,2025-07-02 14:38:24,上海逸明恒业数码技术有限公司,冯继芸(女),021-61900756,2500.00
关于打印/复印纸的框架协议合同公告,2025-07-02 14:37:46,上海长盈办公设备有限公司,沈静(女),02168189955,4000.00
关于制冷空调设备的框架协议合同公告,2025-07-02 14:35:04,上海寅睿暖通机电设备安装有限公司,赵刚(男),13636610270,24430.00
上海市虹口区人民法院法庭辅助项目（2025年升级改造）公告,2025-07-02 14:26:11,上海多融科技发展有限公司,李伟亭(男),021-36123368,1089900.00
关于台式整机的框架协议合同公告,2025-07-02 14:25:26,上海仪电鑫森科技发展有限公司,夏军(男),13601930323,5850.00
关于打印/复印纸的框架协议合同公告,2025-07-02 14:25:25,上海仪电鑫森科技发展有限公司,夏军(男),13341763675,4978.00
关于台式整机的框架协议合同公告,2025-07-02 14:20:20,上海渲冉电子科技有限公司,周冬峰(男),18017716907,5950.00
关于台式整机的框架协议合同公告,2025-07-02 14:19:03,上海渲冉电子科技有限公司,周冬峰(男),18017716907,66000.00
关于会计审计的框架协议合同公告,2025-07-02 14:18:44,上海文汇会计师事务所有限公司,张兵(男),021-61900756,6000.00
关于其他印刷服务的框架协议合同公告,2025-07-02 14:18:22,上海成华印刷有限公司,王家成(男),021-66822800,599450.00
关于资产评估服务的框架协议合同公告,2025-07-02 14:15:39,上海信达资产评估有限公司,韩世新(男),02154041509,6588.00
关于彩色激光多功能一体机的框架协议合同公告,2025-07-02 14:13:48,上海一风一影智能办公设备有限公司,张波(男),021-61900756,9000.00
关于彩色激光多功能一体机的框架协议合同公告,2025-07-02 14:13:03,上海一风一影智能办公设备有限公司,张波(男),021-61900756,11200.00
关于打印/复印纸的框架协议合同公告,2025-07-02 14:04:39,上海中飞办公设备有限公司,许大山(男),13621931679,3986.40
华东政法大学松江校区拓展工程会议室及多功能报告厅电子设备采购项目的合同公告,2025-07-02 13:48:22,上海森益智能科技有限公司,常莹(男),021-57090263,2313047.00
业务档案寄存费的合同公告,2025-07-02 13:46:26,上海强然数码科技有限公司,贾朝东(男),18121202263,1639704.00
城市运行治理领域数字化系统运维的合同公告,2025-07-02 13:45:30,上海临港新片区数字基建投资发展有限公司,王巍(男),13671953021,3600000.00
智慧交通领域数字化系统运维的合同公告,2025-07-02 13:44:51,上海临港新片区数字基建投资发展有限公司,王巍(男),13671953021,1360000.00
媒体传播影响力分析专项公告,2025-07-02 13:44:02,北京蓝光汇智网络科技有限公司,梁汝锋(男),021-64743030,1758000.00
基础能力运维的合同公告,2025-07-02 13:43:35,上海临港新片区数字基建投资发展有限公司,王巍(男),13671953021,1040000.00
关于绩效评价服务的框架协议合同公告,2025-07-02 13:43:23,上海上咨协实工程顾问有限公司,杨桃红(男),13341935817,30000.00
关于绩效评价服务的框架协议合同公告,2025-07-02 13:34:11,上海上咨协实工程顾问有限公司,杨桃红(男),13341935817,30000.00
关于绩效评价服务的框架协议合同公告,2025-07-02 13:19:03,上海上咨协实工程顾问有限公司,杨桃红(男),13341935817,45000.00
关于绩效评价服务的框架协议合同公告,2025-07-02 13:15:41,上海上咨协实工程顾问有限公司,杨桃红(男),13341935817,45000.00
上海科技大学硬X射线自由电子激光装置-物理实验靶场光学系统的合同公告,2025-07-02 13:13:02,中国工程物理研究院激光聚变研究中心,许乔(男),021-69918915,30500000.00
关于其他印刷品的框架协议合同公告,2025-07-02 12:57:14,上海墨龙印务有限公司,虞嘉蕾(女),02162482645,155000.00
重点职业病危害行业专项检测-工作场所职业病危害因素专项检测-专项检测包3的合同公告,2025-07-02 12:42:17,上海建科检验有限公司,王冰(男),15000539387,336000.00
关于报纸类印刷服务的框架协议合同公告,2025-07-02 12:17:26,上海界龙中报印务有限公司,任端正(男),02167103257,76000.00
上海科技大学硬X射线自由电子激光装置-扫描磁铁及四极磁铁的合同公告,2025-07-02 11:52:25,合肥聚能电物理高技术开发有限公司,吴杰峰(男),18321712160,2458800.00
重点职业病危害行业专项检测-工作场所职业病危害因素专项检测-专项检测包2的合同公告,2025-07-02 11:52:21,上海沪东医院检测有限公司,刘梅英(女),021-50682766,334000.00
2024年度市教委本部专项经费结项抽查工作的合同公告,2025-07-02 11:46:15,上海信佳会计师事务所（普通合伙）,潘利钧(男),18116286018,203000.00
关于打印/复印纸的框架协议合同公告,2025-07-02 11:30:11,史泰博（上海）有限公司,张潮涌(男),无,9990.40
重点职业病危害行业专项检测-工作场所职业病危害因素专项检测-专项检测包1的合同公告,2025-07-02 11:10:32,上海尊理检测技术有限公司,赵千(女),13162106320,338000.00
关于绩效评价服务的框架协议合同公告,2025-07-02 11:10:09,上海上咨协实工程顾问有限公司,杨桃红(男),13341935817,50000.00
关于台式整机的框架协议合同公告,2025-07-02 11:09:07,上海申腾信息技术有限公司,朱闻渊(男),15921043013,60000.00
重点职业病危害行业专项检测-工作场所职业病危害因素专项检测-专项检测包5的合同公告,2025-07-02 10:57:05,上海浦东新区舟桥职业安全健康事务所,徐新(男),13817967978,327603.60
食堂托管经费的合同公告,2025-07-02 10:56:41,上海锦江国际食品餐饮管理有限公司,钱继龙(男),021-69221684,1595685.00
关于预算绩效评价咨询服务的框架协议合同公告,2025-07-02 10:50:33,上海文汇建设管理咨询有限公司,王晓琦(女),13341935817,100000.00
关于打印/复印纸的框架协议合同公告,2025-07-02 10:41:07,金周科技（上海）有限公司,李绪俊(男),021-38870030,7250.00
政务服务领域数字化系统运维的合同公告,2025-07-02 10:39:02,上海众恒智能系统技术有限公司,高吉瑞(男),17721316255,1958000.00
浦东校区第二食堂餐饮服务费项目的合同公告,2025-07-02 10:35:47,上海锦阔物业管理服务有限公司,朱如石(男),021-28957139,3677634.87
浦东校区第一食堂餐饮服务费项目的合同公告,2025-07-02 10:32:01,上海锦阔物业管理服务有限公司,朱如石(男),021-28957139,3112643.13
2024年度市教委本部专项经费结项抽查工作的合同公告,2025-07-02 10:28:48,上海沪中会计师事务所有限公司,黎地(男),18116286018,204000.00
2024年度市教委本部专项经费结项抽查工作的合同公告,2025-07-02 10:25:57,上海宏大东亚会计师事务所有限公司,朱震宇(男),18116286018,203000.00
关于预算绩效评价咨询服务的框架协议合同公告,2025-07-02 10:23:11,上海道和会计师事务所（普通合伙）,胡浩(男),13341935817,100000.00
关于预算绩效评价咨询服务的框架协议合同公告,2025-07-02 10:20:40,上海道和会计师事务所（普通合伙）,胡浩(男),13341935817,250000.00
关于笔记本电脑的框架协议合同公告,2025-07-02 10:16:37,上海浅戈网络科技有限公司,王四屏(女),13818350856,9850.00
关于打印/复印纸的框架协议合同公告,2025-07-02 09:55:22,上海亚非文化用品有限公司,任余满(男),021-61900756,1175.00
一号业务楼四、五层修缮项目建安费用的合同公告,2025-07-02 09:44:32,上海振维建筑工程有限公司,叶文昊(男),13585964351,3772340.00
中国福利会幼儿园防腐木更新和保养项目的合同公告,2025-07-02 09:39:13,上海泽康建设（集团）有限公司,康先进(男),13701735850,2054571.79
关于会计审计的框架协议合同公告,2025-07-02 09:37:55,上海枫雅会计师事务所（普通合伙）,丁勤勤(女),13817657465,66000.00
2024年度市教委本部专项经费结项抽查工作的合同公告,2025-07-02 09:32:11,上海枫雅会计师事务所（普通合伙）,丁勤勤(女),18116286018,205000.00
关于其他印刷服务的框架协议合同公告,2025-07-02 09:32:02,上海商务联西印刷有限公司,龙爱军(男),02158114501,136482.00
关于黑白激光多功能一体机的框架协议合同公告,2025-07-02 09:17:09,上海恒益源信息科技有限公司,陈懿(女),13062680011,245000.00
关于制冷空调设备的框架协议合同公告,2025-07-02 08:41:37,上海科勤工程技术有限公司,滕忆文(男),021-69982576,19940.00
关于打印/复印纸的框架协议合同公告,2025-07-02 08:35:20,上海政服贸易有限公司,何风英(女),021-62482920,1156.00
X射线计算机体层摄影设备（CT）公告,2025-07-02 00:47:49,上海廷畅实业发展有限公司,付阿宝(男),021-38296666,7990000.00
上海市质子重离子临床技术研发中心质子重离子治疗计划功能升级及配套服务项目的合同公告,2025-07-01 21:13:19,西门子医疗系统有限公司,王皓(男),18017317789,6200000.00
一代测序仪公告,2025-07-01 20:42:39,国润医疗供应链服务（上海）有限公司,李杨(男),021-64370045,1499500.00
微滴式数字PCR仪等设备公告,2025-07-01 20:38:40,国润医疗供应链服务（上海）有限公司,李杨(男),021-64370045,999500.00
关于笔记本电脑的框架协议合同公告,2025-07-01 18:25:39,上海政采数码技术有限公司,章思虹(女),18939854005,9830.00
大、小鼠独立通气笼设备采购项目的合同公告,2025-07-01 18:25:06,泰尼百斯科学仪器（江苏）有限公司,魏然(男),021-63846590,12884021.00
关于笔记本电脑的框架协议合同公告,2025-07-01 18:23:47,上海政采数码技术有限公司,章思虹(女),18939854005,9830.00
关于显示器的框架协议合同公告,2025-07-01 18:16:56,上海政采数码技术有限公司,章思虹(女),18939854005,949.00
关于预算绩效评价咨询服务的框架协议合同公告,2025-07-01 18:06:55,上海泳雨管理咨询有限公司,周文洁(女),13341935817,200000.00
关于笔记本电脑的框架协议合同公告,2025-07-01 18:04:47,上海政采数码技术有限公司,章思虹(女),18939854005,10000.00
关于会计审计的框架协议合同公告,2025-07-01 18:04:41,上海沪港金茂会计师事务所有限公司,郭纯青(女),13816105750,450000.00
关于UPS电源的框架协议合同公告,2025-07-01 17:55:21,上海北鼎信息科技有限公司,吕东全(男),18310038099,56632.00
关于物业管理服务的框架协议合同公告,2025-07-01 17:16:09,上海复欣物业管理发展有限公司,丁兰弟(男),021-62758710,791000.00
关于上海福彩电脑票投注单印制的框架协议合同公告,2025-07-01 17:06:02,上海新华印刷有限公司,王旭平(男),021-64729999,499140.00
上海市养志康复医院（上海市阳光康复中心）医疗设备1公告,2025-07-01 17:04:00,上海构璞医疗器械有限公司,钱靖(男),021-37730011,750000.00
关于笔记本电脑的框架协议合同公告,2025-07-01 16:51:04,上海港讯电子科技有限公司,李勇勇(男),021-63846590,7490.00
关于显示器的框架协议合同公告,2025-07-01 16:46:39,上海港讯电子科技有限公司,李勇勇(男),021-63846590,1599.00
关于碎纸机的框架协议合同公告,2025-07-01 16:45:37,上海港讯电子科技有限公司,李勇勇(男),021-63846590,930.00
关于业务印刷服务的框架协议合同公告,2025-07-01 16:37:29,上海万卷印刷股份有限公司,魏辉(男),021-32511500,99950.00
关于物业管理服务的框架协议合同公告,2025-07-01 16:20:45,上海东湖物业管理有限公司,陈杰(男),13917766071,330720.00
关于台式整机的框架协议合同公告,2025-07-01 16:18:35,上海致柏商贸有限公司,章志栋(男),13341778223,5580.00
上海科技大学附属学校安全技术防范系统完善达标建设项目的合同公告,2025-07-01 16:13:05,上海电气智慧城市信息科技有限公司,朱佼佼(男),021-20684838,3832700.00
上海市化工职业病防治院综合业务内控规划平台公告,2025-07-01 16:10:25,仪电双杨智能科技（上海）有限公司,宋汝良(男),021-22836225,1230000.00
关于新能源轿车的框架协议合同公告,2025-07-01 16:09:11,上海逸先汽车销售服务有限公司,颜光明(男),18018885666,179900.00
关于台式整机的框架协议合同公告,2025-07-01 16:05:27,上海政采数码技术有限公司,章思虹(女),021-63846590,5890.00
关于新能源轿车的框架协议合同公告,2025-07-01 16:01:04,上海五角场汽车销售服务有限公司,张惠萍(女),13918247133,179900.00
上海市疾病预防控制中心液氮自动化样本存储和管理系统的合同公告,2025-07-01 15:57:40,上海医疗器械进出口有限公司,章建昌(男),021-65951875,8496880.00
2025年社会体育指导员培训的合同公告,2025-07-01 15:46:45,上海市社区体育协会,刘燕(女),021-62275330,3500000.00
2025年社区体育服务委托管理的合同公告,2025-07-01 15:46:06,上海市社区体育协会,刘燕(女),021-63275330,1000000.00
2025年上海市社区体育服务配送的合同公告,2025-07-01 15:44:16,上海市社区体育协会,刘燕(女),021-63275330,3500000.00
关于物业管理服务的框架协议合同公告,2025-07-01 15:40:20,上海宝威保安服务有限公司,唐兴国(男),021-23111543,336700.00
上海体育大学杨浦校区综合馆（游泳馆及附属部分）维修项目建设工程施工合同公告,2025-07-01 15:39:38,安徽省南苑建设工程有限公司,周言霞(男),15301636237,12430148.00
关于物业管理服务的框架协议合同公告,2025-07-01 15:34:38,上海徐园绿化养护有限公司,金玮(男),021-23111543,432740.00
关于彩色激光多功能一体机的框架协议合同公告,2025-07-01 15:26:45,上海中飞办公设备有限公司,许大山(男),15900968099,3590.00
关于多用途乘用车（MPV）的框架协议合同公告,2025-07-01 15:20:52,上海鸿途汽车销售服务有限公司,肖峰(男),18918898192,179900.00
关于投影机的框架协议合同公告,2025-07-01 15:14:56,上海建扬实业有限公司,张建国(男),18933479808,236875.00
上海市中心图书馆“一卡通”通借通还文献物流服务项目的合同公告,2025-07-01 15:14:43,中国邮政速递物流股份有限公司上海市分公司,李柏平(男),021-64455555,1651176.00
关于物业管理服务的框架协议合同公告,2025-07-01 15:11:29,上海燕茗市容服务有限责任公司,郑铁燕(女),021-23111543,247000.00
城镇房屋安全隐患整治跟踪检查的合同公告,2025-07-01 15:07:43,上海同宴土木工程咨询有限公司,陈翠珍(女),021-23116177,1608350.00
关于打印/复印纸的框架协议合同公告,2025-07-01 14:55:38,上海藏谷纸业有限公司,冯立国(男),021-58462025,687.50
2024年度市教委本部专项经费结项抽查工作的合同公告,2025-07-01 14:54:27,上海诚昌会计师事务所有限公司,吕可培(男),18116286018,203000.00
关于资产评估服务的框架协议合同公告,2025-07-01 14:44:45,上海正大资产评估有限公司,庄辰芳(女),13917171635,4000.00
上海市重型车跟车测试分析服务（第二次）的合同公告,2025-07-01 14:43:48,清华大学,李路明(男),021-24011577,1760000.00
关于打印/复印纸的框架协议合同公告,2025-07-01 14:42:15,上海协采数码科技有限公司,黄顶(男),021-62482920,650.00
上海化学工业区管理委员会投促服务工作经费（2025年下半年）的合同公告,2025-07-01 14:40:36,上海化学工业区金山联合发展有限公司,陈彩萍(女),021-67126666,1100000.00
关于会计审计的框架协议合同公告,2025-07-01 14:29:37,上海财瑞会计师事务所有限公司,李莉(女),021-62261357,550000.00
2025年度上海市免费提供基本避孕药具采购及配送（口服避孕药及避孕针）的合同公告,2025-07-01 14:28:22,上药国际供应链有限公司,吴琦(男),021-69912663,2575230.00
关于彩色激光多功能一体机的框架协议合同公告,2025-07-01 14:26:33,上海仪电鑫森科技发展有限公司,夏军(男),13601930323,8800.00
关于其他印刷服务的框架协议合同公告,2025-07-01 14:03:52,上海松江海鹰纸品厂,李俊(男),021-57716128,315000.00
关于制冷空调设备的框架协议合同公告,2025-07-01 13:57:52,上海高峡建筑安装工程有限公司,严兵(男),021-61655060,77330.00
关于其他印刷服务的框架协议合同公告,2025-07-01 13:55:53,上海万卷印刷股份有限公司,魏辉(男),18901820818,9974.00
关于笔记本电脑的框架协议合同公告,2025-07-01 13:40:24,上海维优电子工程有限公司,徐芸(女),021-63846590,9990.00
关于台式整机的框架协议合同公告,2025-07-01 13:39:31,上海维优电子工程有限公司,徐芸(女),021-63846590,5998.00
关于会计审计的框架协议合同公告,2025-07-01 13:35:43,上海沪汇会计师事务所（普通合伙）,黄国忠(男),13501633484,560000.00
关于会计审计的框架协议合同公告,2025-07-01 13:31:34,中审众环会计师事务所（特殊普通合伙）上海分所,乔玉湍(男),13917132806,534000.00
关于会计审计的框架协议合同公告,2025-07-01 13:21:15,上海枫雅会计师事务所（普通合伙）,丁勤勤(女),13817657465,520000.00
关于机动车保险服务的框架协议合同公告,2025-07-01 13:20:52,申能财产保险股份有限公司上海分公司,宋荣中(男),18717806101,2247.03
上海市精神卫生中心餐厨垃圾处理设备的合同公告,2025-07-01 13:12:33,德列孚智能科技（上海）有限公司,毛黎明(男),021-52219169,2487776.00
关于会计审计的框架协议合同公告,2025-07-01 13:09:32,上海政信会计师事务所有限公司,李一(男),13817233790,570000.00
关于会计审计的框架协议合同公告,2025-07-01 13:07:25,上海琳方会计师事务所有限公司,方伊峰(男),13916029049,566800.00
关于彩色激光多功能一体机的框架协议合同公告,2025-07-01 11:54:39,上海一风一影智能办公设备有限公司,张波(男),18310038099,5000.00
2025年度上海市免费提供基本避孕药具采购及配送（宫内节育器及辅助用品）的合同公告,2025-07-01 11:52:11,国药控股菱商医院管理服务（上海）有限公司,李杨(男),021-69912663,3564520.00
关于会计审计的框架协议合同公告,2025-07-01 11:47:24,上海立信佳诚东审会计师事务所有限公司,曾福娟(女),021-64726866,520000.00
关于复印机的框架协议合同公告,2025-07-01 11:32:48,上海晗谦商贸有限公司,阮文君(男),18918218206,45000.00
2025年市残联融媒体运营管理项目的合同公告,2025-07-01 11:28:29,上海东方数据广播有限公司,魏浩俊(男),021-63215172,1684200.00
内环高架设施提升及功能完善工程（金沙江路-南浦大桥）财务监理项目公告,2025-07-01 11:27:23,上海联合工程监理造价咨询有限公司,韩兴彤(男),021-64187262,1990000.00
经济领域数字化系统运维的合同公告,2025-07-01 11:25:53,上海亿通国际股份有限公司,李荃(女),021-20260000,3400000.00
关于会计审计的框架协议合同公告,2025-07-01 11:21:03,上海华安会计师事务所有限公司,杨怡闻(女),13918390631,580000.00
关于笔记本电脑的框架协议合同公告,2025-07-01 11:12:59,上海港讯电子科技有限公司,李勇勇(男),021-63846590,7490.00
全市网络安全专项检查公告,2025-07-01 11:06:51,国家计算机网络与信息安全管理中心上海分中心,王寒梅(女),021-64743030,1110880.00
太浦河左岸防汛通道安全设施增设（北苗圃东大门——龚家庄水闸）的合同公告,2025-07-01 11:06:17,上海颛淼市政工程有限公司,孙崧江(男),021-66614560,916055.00
关于复印机的框架协议合同公告,2025-07-01 11:03:07,上海肃诚办公设备有限公司,王震华(男),021-63846590,24900.00
城镇房屋体检数据质检和技术支持的合同公告,2025-07-01 11:00:22,上海浦东房屋质量检测有限公司,丁庆龙(男),021-23116177,2220000.00
消防审批专项的合同公告,2025-07-01 10:45:37,上海建瓴工程咨询有限公司,何磊(男),18018885448,1471250.00
关于显示器的框架协议合同公告,2025-07-01 10:33:31,上海逸明恒业数码技术有限公司,冯继芸(女),02167103257,7998.00
关于显示器的框架协议合同公告,2025-07-01 10:31:29,上海逸明恒业数码技术有限公司,冯继芸(女),02167103257,3999.00
2025年《园林》第7期印刷合同公告,2025-07-01 10:27:13,上海昌鑫龙印务有限公司,陈昌龙(男),无,24738.00
关于服务器/Server的框架协议合同公告,2025-07-01 10:26:25,上海佩玉实业集团有限公司,曹培兰(女),18310038099,206500.00
2025年小学生爱心暑托班活动采购项目的合同公告,2025-07-01 10:25:17,上海市女性社会组织发展中心,方叶乔(女),13636675699,1204000.00
关于成本预算绩效分析的框架协议合同公告,2025-07-01 10:23:07,上海科技咨询有限公司,田茵(女),13621652871,70000.00
关于彩色激光多功能一体机的框架协议合同公告,2025-07-01 10:17:24,上海优启办公设备有限公司,王震宇(男),021-32098901,2950.00
关于打印/复印纸的框架协议合同公告,2025-07-01 10:16:50,上海皓建纸业有限公司,何浩(男),无,9970.50
关于会计审计的框架协议合同公告,2025-07-01 10:13:59,上海锦瑞会计师事务所有限公司,殷晓玲(女),021-52130713,550000.00
关于新能源轿车的框架协议合同公告,2025-07-01 10:10:01,上海海博君亿汽车销售有限公司,梁嘉祥(男),13817830720,179800.00
关于彩色激光多功能一体机的框架协议合同公告,2025-07-01 10:09:02,上海鹏宸数码科技有限公司,郑伟忠(男),13917992783,4980.00
关于会计审计的框架协议合同公告,2025-07-01 10:08:24,上海品测会计师事务所（普通合伙）,朱春林(男),021-61655060,5000.00
关于会计审计的框架协议合同公告,2025-07-01 10:07:02,上海品测会计师事务所（普通合伙）,朱春林(男),021-61655060,5000.00
关于UPS电源的框架协议合同公告,2025-07-01 09:57:25,上海睿锡电子科技有限公司,王建军(男),02136525825,80000.00
关于彩色激光多功能一体机的框架协议合同公告,2025-07-01 09:57:24,上海鹏宸数码科技有限公司,郑伟忠(男),13917992783,2980.00
关于UPS电源的框架协议合同公告,2025-07-01 09:56:42,上海睿锡电子科技有限公司,王建军(男),02136525825,100000.00
上海市化工职业病防治院全自动生化仪（模块仪）公告,2025-07-01 09:53:08,上海泰宇生物科技有限公司,张杨(女),021-22836212,1092780.00
关于彩色激光多功能一体机的框架协议合同公告,2025-07-01 09:49:29,上海宝发数码科技有限公司,宋海凌(男),02167103257,3330.00
外环绿带生物多样性调查的合同公告,2025-07-01 09:47:26,"华东师范大学,上海天渊生态科技有限公司",钱旭红(男),021-52235755,2470000.00
堡镇、芦潮港不合格业务用房维修的合同公告,2025-07-01 09:38:39,上海滔隆建筑工程有限公司,刘尧栋(男),021-62779051,1976824.89
堡镇、芦潮港不合格业务用房维修的合同公告,2025-07-01 09:36:34,上海滔隆建筑工程有限公司,刘尧栋(男),021-62779051,350819.85
关于显示器的框架协议合同公告,2025-07-01 09:33:40,上海维优电子工程有限公司,徐芸(女),02167103257,7998.00
物业管理费的合同公告,2025-07-01 09:25:03,上海新世纪房产服务有限公司,沈宏庆(男),18917699513,4185680.00
关于会计审计的框架协议合同公告,2025-07-01 09:23:24,上海久信会计师事务所有限公司,王艳(女),021-65589888,576800.00
关于台式整机的框架协议合同公告,2025-07-01 09:22:57,上海德豪电子科技有限公司,徐海忠(男),02167103257,5860.00
关于彩色激光多功能一体机的框架协议合同公告,2025-07-01 09:15:22,上海一风一影智能办公设备有限公司,张波(男),02167103257,4500.00
市容环境质量社会公众满意度测评的合同公告,2025-07-01 09:07:56,上海市质协用户评价中心,蒋曙东(男),021-52562407,1875000.00
