网站链接,文章标题,文章摘要
https://ieeexplore.ieee.org/document/7558950/,Design of wireless power transfer device for UAV,"In recent years, research on wireless power transmission (WPT) technologies has been attracting more attention after MIT introduced the magnetic resonance technology in 2007. Wireless magnetic resonant power transfer is an emerging technology that has many advantages over other wireless power transfer methods due to its safety and flexible comfortable supplying energy needs to electric devices. At the same time, with the constant improvement and extension application rang of unmanned aerial vehicles (UAVs), the main problem of the UAV is that it cannot carry out remote tasks because of its weak cruising ability. In this paper, we develop a wireless magnetic resonant power transfer system that enables UAVs to provide power to, and which can solve the problem of UAV's endurance."
https://ieeexplore.ieee.org/document/10154998/,GPS-Spoofing Attack Detection Mechanism for UAV Swarms,"Recently autonomous and semi-autonomous Unmanned Aerial Vehicle (UAV) swarms started to receive a lot of research interest and demand from various civil application fields. However, for a successful mission execution UAV swarms require Global Navigation Satellite System (GNSS) signals and in particular Global Positioning System (GPS) signals for navigation. Unfortunately, civil GPS signals are unencrypted and unauthenticated, which facilitates the execution of GPS spoofing attacks. During these attacks adversaries mimic the authentic GPS signal and broadcast it to the targeted UAV in order to change its course, force it to land or crash. In this study, we propose a GPS spoofing detection mechanism capable of detecting single-transmitter and multi-transmitter GPS spoofing attacks to prevent the above mentioned outcomes. Our detection mechanism is based on comparing the distance between each two swarm members calculated from their GPS coordinates to the distance acquired from Impulse Radio Ultra-Wideband ranging between the same swarm members. If the difference in distances is larger than a chosen threshold the GPS spoofing attack is declared detected."
https://ieeexplore.ieee.org/document/9333971/,Large-term sensing system for agriculture utilizing UAV and wireless power transfer,"In recent years, in order to improve crop production and quality of agricultural operations, an “agricultural remote monitoring system” have been attracting a lot of attention. The existing studies have proposed an agricultural remote monitoring systems using Wireless Sensor Network (WSN). In the existing system, the environmental information is collected from a large number of sensor nodes installed in the farm using a low-power wireless communications (e.g., ZigBee, LPWA). However, in these systems, even when the low-power wireless technology is utilized, it is difficult to run permanently on batteries because the battery capacity is not infinity. In addition, in the case of a large-scale field, a large number of intermediate nodes should be installed in the field, hence the installation and operation costs are high.On the other hand, a wireless power transfer technology is evolving and equipment which is capable of supplying power to places dozens of centimeters away has been available. In addition, Unmanned Aerial Vehicles (UAV) that can fly stably for a long time and has a large loading capacity has appeared.Therefore, in this study, we propose and develop a wide-area sensing system for large-scale farms using a UAV, a wireless power transfer technology, and an energy-saving short-range wireless communication system (i.e., Bluetooth Low Energy (BLE)). The UAV flies autonomously to the location of sensor nodes that are widely installed in the large farm for collecting the sensor data. Here, the UAV is designed to supply the power to the sensor node to measure and send the environmental information using the wireless power transfer technology. It eliminates the need for periodic battery replacement of the sensor node, which reduces the cost of operating the system.Through the experimental evaluation using the developed system, it has been confirmed that the UAV can accurately be controlled by the proposed feedback control to land near the sensor nodes, and that the sensor nodes can be operated by the wireless power transfer from the embedded system of the UAV."
https://ieeexplore.ieee.org/document/9348030/,GPS Spoofing Detector with Adaptive Trustable Residence Area for Cellular based-UAVs,"The envisioned key role of Unmanned Aerial Vehicles (UAVs) in assisting the upcoming mobile networks calls for addressing the challenge of their secure and safe integration in the airspace. The GPS spoofing is a prominent security threat of UAVs. In this paper, we propose a 5G-assisted UAV position monitoring and anti-GPS spoofing system that allows live detection of GPS spoofing by leveraging Uplink received signal strength (RSS) measurements to cross-check the position validity. We introduce the Adaptive Trustable Residence Area (ATRA); a novel strategy to determine the trust area within which the UAV's GPS position should be located in order to be considered as non-spoofed. The performance evaluation shows that the proposed solution can successfully detect spoofed GPS positions with a rate of above 95%."
https://ieeexplore.ieee.org/document/10200557/,Graphic Neural Network based GPS Spoofing Detection for Cellular-Connected UAV swarm,"The cellular-connected Unmanned Aerial Vehicles (UAVs) are emerging as integral components of the 5G and beyond system due to their mobility and flexibility. Compared to a traditional single UAV, a flock of UAVs established as a UAV swarm can implement diverse distributed applications economically and efficiently, such as cooperatively smart agriculture, joint search and rescue, and supplementing temporary network connections. However, the GPS spoofing attack can manipulate UAV swarm locations and distort UAV swarm topology, which threatens the security of swarm communication and control. This paper proposes a Graphic Neural Networks (GNN) based GPS spoofing detection approach for cellular-connected UAV swarms. Especially, we propose a system in which the GNN model is used to detect GPS spoofing attacks by analyzing the similarity between the swarm GPS topology and communications topology. To evaluate the proposed neural networks, we use a bipartite graph and Hungarian algorithm to build a UAV swarm simulator. The results show that GNN can efficiently compute topologies’ similarity and detect GPS spoofing attacks. For instance, for a UAV swarm consisting of 10 UAVs, GNN detects the spoofing with accuracy over 90% and computation time of fewer than 10 milliseconds using Intel Core 1.6 GHz processor."
https://ieeexplore.ieee.org/document/10556988/,Enhancing Battery Efficiency Through Semi-Markov Decision Processes in Task Allocation for UAVs,"This research introduces a Semi-Markov Decision Process (SMDP) approach to task allocation for Unmanned Aerial Vehicles (UAVs) by considering the stochastic behavior of battery levels. The SMDP allows the UAV to dynamically allocate tasks based on its current battery state and the time spent in each state. We compare the SMDP method with a manually assigned task sequence and demonstrate a significant reduction in completion time for a set of predefined tasks. The SMDP optimally assigns tasks, considering the stochastic nature of battery levels, resulting in improved efficiency and eliminating uncertainties associated with human allocation. The findings underscore the benefits of incorporating SMDP in UAV task management, especially in scenarios dependent on real-time battery levels."
https://ieeexplore.ieee.org/document/10131729/,GPS Spoofing Detection in UAV Using Motion Processing Unit,"To facilitate navigation and tracking, UAVs (unmanned aerial vehicles) or drones rely on the global positioning system (GPS). Still, unmanned aerial vehicles are resistless to GPS spoofing attacks, which involve manipulating GPS module receivers by transmitting altered signals. For example, an adversary using an adverse GPS simulator could broadcast counterfeit GPS signals, causing a GPS-reliant UAV to deviate from its intended flight path. This can result in loss of position accuracy and potentially cause a crash or unauthorized access to restricted areas. To mitigate this issue, several approaches have been advocated to detect GPS spoofing attacks. Motion Processing Units (MPUs) have emerged as a promising option, as they can provide precise measurements of the UAVs orientation and movement, enabling the mitigation and detection of spoofing attacks on GPS signals. In this study, a technique is introduced for identifying and counteracting GPS spoofing attacks in drones or unmanned aerial vehicles (UAVs) using data from the MPU9250. The approach employs data from the accelerometer, gyroscope, and magnetometer along all three axes to detect instances of GPS spoofing and recover accurate GPS coordinates. Any noteworthy divergence in the gyroscope readings is considered as a possible GPS spoofing attack. To evaluate the efficacy of the propounded method, it is tested using real-world experiments, which demonstrate its capability to successfully detect falsified GPS signals."
https://ieeexplore.ieee.org/document/9824124/,Transfer Learning based GPS Spoofing Detection for Cellular-Connected UAVs,"Unmanned Aerial Vehicles (UAVs) are set to become an integral part of 5G and beyond systems with the promise of assisting cellular communications and enabling advanced applications and services, such as public safety, caching, and virtual/mixed reality-based remote inspection. However, safe and secure navigation of UAVs is a key requisite for their integration in the airspace. The GPS spoofing is one of the major security threats to remotely and autonomously controlled UAVs. In this paper, we propose a machine learning-based, mobile network-assisted UAV monitoring and control system that allows live monitoring of UAVs' locations and intelligent detection of spoofed positions. We introduce the Convolutional Neural Network (CNN) in the edge UAV Flight Controller (UFC) to locate a UAV and detect any GPS spoofing by comparing differences between the theoretical path loss computed by UFC and the corresponding path loss reported by the connected base station (BS). To reduce the detection latency as well as to increase the detection accuracy, transfer learning is leveraged to transfer the CNN knowledge between edge servers when the UAV handovers from one BS to another. The performance evaluation shows that the proposed solution can successfully detect spoofed GPS positions with an accuracy rate above 88% using only one BS."
https://ieeexplore.ieee.org/document/8453349/,"Improvement in the UAV position estimation with low-cost GPS, INS and vision-based system: Application to a quadrotor UAV","In this paper, we develop a position estimation system for Unmanned Aerial Vehicles formed by hardware and software. It is based on low-cost devices: GPS, commercial autopilot sensors and dense optical flow algorithm implemented in an onboard microcomputer. Comparative tests were conducted using our approach and the conventional one, where only fusion of GPS and inertial sensors are used. Experiments were conducted using a quadrotor in two flying modes: hovering and trajectory tracking in outdoor environments. Results demonstrate the effectiveness of the proposed approach in comparison with the conventional approaches presented in the vast majority of commercial drones."
https://ieeexplore.ieee.org/document/8288496/,A Vision-Based GPS-Spoofing Detection Method for Small UAVs,"In recent years, consumer-class UAVs have come into public view and cyber security starts to attract the attention of researchers and hackers. The tasks of positioning, navigation and return-to-home (RTH) of UAV heavily depend on GPS. However, the signal structure of civil GPS used by UAVs is completely open and unencrypted, and the signal received by ground devices is very weak. As a result, GPS signals are vulnerable to jamming and spoofing. The development of software define radio (SDR) has made GPS-spoofing easy and costless. GPS-spoofing may cause UAVs to be out of control or even hijacked. In this paper, we propose a novel method to detect GPS-spoofing based on monocular camera and IMU sensor of UAV. Our method was demonstrated on the UAV of DJI Phantom 4."
https://ieeexplore.ieee.org/document/10000335/,The Effects of Jamming on Global Positioning System (GPS) Accuracy for Unmanned Aerial Vehicles (UAVs),"Unmanned aerial vehicles (UAVs) are vulnerable to a number of threats, including jamming. Jamming is the act of intentionally directing electromagnetic energy towards a communication and / or navigation system to disrupt or prevent signal transmission and reception. Global Navigation Satellite System (GNSS) jammers transmit interference signals in the frequency band used for satellite navigation. Frequency Selective Surface (FSS) filter as a potential solution to mitigate the jamming activity. The effectiveness of FSS depends on the incidence angle of the jamming signals. It is important to characterize the GPS performance of the UAV in the absence of the FSS filter, which will be used as a benchmark for modelling the appropriate FSS filter. Hence, this paper aims to investigate preliminary effects of jamming signal on UAV. The purpose of this research is to investigate the effects of Global Positioning System (GPS) jamming on UAVs based on two different conditions, namely, varying times and rotation angles. The study was conducted using GPS simulation in an anechoic chamber to prevent external interferences and multipath. Different estimated probable error (EPE) patterns are observed at different times due to the GPS satellite constellation being dynamic. This indicates that GPS accuracy is time-dependent. The results also show that the presence of a jammer imposes a significant effect on GPS accuracy when the jammer signal reaches -89 dBm. The significance of this work is to provide a solution to prevent GPS jamming and ensure safe and reliable UAV navigation by using a frequency selective surface (FSS) filter for future work."
https://ieeexplore.ieee.org/document/10430778/,GPS Spoof and Detect in Ardupilot Simulating UAVs,"The usage and application of Unmanned Aerial Vehicles (UAVs) are continuously increasing for various purposes and services, including surveillance, goods delivery, and military operations. However, as the usage of such devices grows, the security threats associated with them also grows. Therefore, it is essential to protect these devices against the cyber attacks to ensure their safe, secure, and reliable usage. This paper first discusses different types of possible cyber attacks on these devices and provides corresponding defense mechanisms. Furthermore, it explains the implementation of Global Positioning System (GPS) spoofing in the Ardupilot simulator. The paper offers a detailed guide on installing Ardupilot and utilizing the ""fakegps"" module to execute GPS spoofing. The process of setting up a flight path and executing GPS spoofing is thoroughly explained. The experimental results demonstrate the successful implementation and detection of GPS spoofing in Ardupilot. Overall, this paper throws light on the potential dangers of GPS spoofing and emphasizes the importance of securing drones to defend against such attacks."
https://ieeexplore.ieee.org/document/5174709/,A vision based onboard approach for landing and position control of an autonomous multirotor UAV in GPS-denied environments,We describe our work on multirotor UAVs and focus on our method for autonomous landing and position control. The paper describes the design of our landing pad and the vision based detection algorithm that estimates the 3D-position of the UAV relative to the landing pad. A cascaded controller structure stabilizes velocity and position in the absence of GPS signals by using a dedicated optical flow sensor. Practical experiments prove the quality of our approach.
https://ieeexplore.ieee.org/document/10431039/,Real Time Vision Based Obstacle Avoidance for UAV using YOLO in GPS Denied Environment,"This paper discussed cost-effective vision-based obstacle avoidance for Unmanned Aerial Vehicles (UAVs) operating in GPS-denied environments. The system combines the You Only Look Once (YOLO) architecture with stereo vision cameras (OAK-D Lite), a Raspberry Pi computer, and a flight controller unit (Pixhawk-Cube). Navigating safely through obstacles becomes challenging for UAVs in GPS-denied environments. To address this issue, the drone is configured in altitude hold mode, and the system is trained on the Common Objects in Context (COCO) dataset, enabling it to recognize objects and analyze the surrounding areas to identify free spaces. By doing so, the drone can traverse an obstacle-free path. The detected obstacle information is then utilized to generate avoidance trajectories, allowing the UAV to navigate around obstacles safely. Real-time testing of the proposed technique demonstrates its efficacy in detecting and avoiding obstacles within a threshold distance of 2 meters, with an error rate of 10%. The drone’s relative speed is configured at 2 m/s during these tests."
https://ieeexplore.ieee.org/document/10494497/,Assessing supervised machine learning in detecting GPS spoofing attacks on UAV application use-cases,"The use of Unmanned Aerial Vehicles (UAVs) is growing rapidly for multiple purposes, e.g., UAVs play a crucial role in aerial surveillance for road-traffic monitoring or emer-gency response, in smart agriculture for precision fertilization and irrigation, and in delivery of goods. However, due to the increasing attention they draw, UAVs become attractive targets for attackers, e.g., the widespread reliance on Global Positioning System (GPS) technology particularly opens the door for GPS spoofing that manipulates the GPS signals. Machine learning (ML) has revolutionized the field of UAVs security providing the means to analyze data towards detecting attacks, such as unauthorized interference in their navigation systems. In this paper, we elaborate on an open data-set containing GPS relative information regarding different UAV flights, either clear or under spoofing attack, and deploy a number of well-known methods of supervised machine learning as a means of detecting the attacks. We derive quantitative results indicating accuracy, precision, recall, f-score, False Alarm Rate (FAR), Miss Detection Rate (MDR), as well as detection time. Our interest focuses on assessing these methods in the light of diverse UAV application use-cases and highlighting tradeoff issues regarding the metrics of accuracy and detection time. We particularly consider the use-cases of road-traffic surveillance, precision agriculture, and delivery of goods. Our study uncovers the importance of mixing and matching the appropriate ML method in the use-case context balancing complexity with time requirements."
https://ieeexplore.ieee.org/document/6530932/,Combined communication and radio navigation system for small UAVs,"Unmanned aerial vehicle systems are in a rapid spread not only in the military but in civilian application areas as well. The safety of these systems is more important when those are flying over civilized areas and leave the restricted flight territories. Two main areas are playing a key role in UAV safety: navigation and supervision. Most of the systems are using GPS sensors to navigate and COTS radio communication system for communication. When GPS system is jammed or the sensor fails the aircrafts have to use alternate navigation method. One solution is radio navigation. Our idea is a proprietary radio communication system which uses software defined radio technology for low power, long range communication and by the aid of multi antenna radio direction finding it can also assist the navigation system by supplying directional and distance information. In our paper we present the system concepts and suggested communication and radio navigation method."
https://ieeexplore.ieee.org/document/9679652/,UAV Antenna Automatic Tracking System Based on Arduino,"To address the problems of short data link signal distance, poor pointing accuracy, and the real-time performance of ordinary directional antennas during the flight of small and medium-sized unmanned aerial vehicles (UAVs), an Arduino-based UAV antenna automatic tracking system is proposed in this study. An ATMEG328P main controller is used to control the overall system, GPS is employed to obtain the real-time position of a UAV, a coordinate system with the center of the earth as the origin is established to calculate the relative position of the aircraft and the ground, and virtual GPS frame data are generated via NMEAGNE for the tracking simulation. Moreover, a radio is utilized to collect and test the POS data. The experimental results show that the data link is stable, and the range-increasing effect is obvious when the system is tracking. The optimization program achieves high-precision tracking for aerial targets within 0.5 m and keeps the image signal clear up to 10 km through 100 MW data transmission. Moreover, the data link signal can be maintained above 90%."
https://ieeexplore.ieee.org/document/7943444/,Data fusion and unmanned aerial vehicles (UAVs) for first responders,"The commercial unmanned aerial vehicle (UAV) market is dominated by vehicles designed specifically for photography or surveillance. While relatively affordable and readily available, these UAVs have limited effectiveness in the field of emergency response due to limited sensing capabilities. These existing vehicles can be improved through sensor integration to make them applicable to emergency response. In this article, we demonstrate one example of altering an existing commercial-off-the-shelf UAV to assess disasters involving radiation by combining radiation detection, vision, and a global positioning system (GPS). The challenges associated with using low cost commercial UAVs in disaster assessment, including data transmission range, endurance, payload, and control range are also discussed."
https://ieeexplore.ieee.org/document/9337634/,GPS/INS Integrated Navigation for Quadrotor UAV Considering Lever Arm,"GPS/INS combination is a commonly used integrated navigation mode. Inertial navigation system (INS) is a typical navigation mode, which can complete the acquisition of navigation parameters, but it will cause error accumulation problem when it is used alone, so using GPS to provide INS with a useful correction information. This article considers that the GPS antenna and the INS are not in the same position in the actual UAV integrated navigation system. Therefore, there is a lever arm that makes the observation equation nonlinear, In order to solve the problems, an improved filter is adopted. Finally, the data are used for comparative experiments, the stability of the algorithm is verified."
https://ieeexplore.ieee.org/document/10397953/,Investigating Patterns of UAV Attacks for Building Secure UAV Network,"Unmanned Aerial Vehicles are remotely handled for fulfilling tasks like photojournalism, security, rescue efforts, and even package deliveries. These gadgets have a variety of sensors and cameras that enable them to gather data and provide real-time images to their administrators. These devices are vulnerable to cyber-attacks that can lead to hacking of devices, resulting in data theft, identity theft and spoofing. Important information carried by unmanned aerial vehicle devices can be intercepted by unauthorized users to destroy the network transmission. This research paper performs an experimental study on generating traffic patterns of unmanned aerial vehicle communication for cyber-attacks. The unmanned aerial vehicle traffic pattern is compared in global positioning system jamming and spoofing attacks for analyzing battery state, system power, logger status and computational load. The achieved results indicate the critical parameters of the network that are to be considered while framing security policies for unmanned aerial vehicle communication."
https://ieeexplore.ieee.org/document/10423544/,Securing the Skies: An UAV-Based Framework for Safe and Authenticated Product Delivery Using QR Codes,"Advancements in the field of Image processing, remotely controlled Unmanned Aerial Vehicle (UAV) and battery technologies it has become a promising solution to the modern world when it comes to surveillance and product delivery. In this study a framework is designed with a UAV and Quick Response (QR) verification system where the route and the mission planning of the UAV are set by an operator using a computing device equipped with the UAV. Where onwards the UAV continue its mission and reaching to a particular delivery location the QR Scanner become online and upon successful scanning and verification the chamber gets opened and the product gets delivered. The UAV drone then continues to the next set of waypoints by following the same protocol. The drone ensures a smooth and effective mission execution by returning to its home location after completing the entire journey. The successful execution of the delivery task was greatly aided by the use of the QR verification method that employed in this study."
https://ieeexplore.ieee.org/document/9915682/,Robust Sensor Fusion for Autonomous UAV Navigation in GPS denied Forest Environment,"Forestry and precision biodiversity data collection using UAVs can be cost-effective and time efficient solution. However, navigating in the forest canopy autonomously can be quite challenging because of its GPS denied environment, cluttered, dynamic, and large scale. Most of the commercial UAVs used in forest applications apply GPS-based navigation which is not suitable for navigating under the canopy. In this paper, an autonomous UAV flight mission in a cluttered forest-like canopy environment is presented. A robust multi-sensor fusion-based robust navigation method which has failure detection features is proposed to enable safe and reliable autonomous navigation. The autonomy architecture utilizes the navigation, planning, and control capabilities of the UAV in a simultaneous manner. To achieve autonomous missions in forest environment, the proposed system has been tested rigorously in a simulated environment and the result shows the capability of autonomous flights in such a challenging environment. The performance of the autonomous flight was evaluated based on mean velocity and path length with respect to the increasing number of trees in the forest."
https://ieeexplore.ieee.org/document/10338915/,Blockchain-Based Heuristic Study to Secure UAVs From GPS Spoofing Signals and External Attacks,"This paper presents a heuristic study to introduce the use of blockchain technology for securing Unmanned Aerial Vehicle Systems (UAVs) against security threats, for example Global Positioning System (GPS) spoofing and improving their efficiency. We leverage a unique combination of “Write Once, Read Many (WORM),” and “Multi-Factor Authentication (MFA)” to create a fortified security infrastructure. Our code results validate the robustness of this combined approach, demonstrating its superiority in providing enhanced protection against data tampering and unauthorised access. The study concludes by contrasting the stand-alone WORM technique with the synergistic WORM+MFA method, evaluating them on key metrics such as level of security, cost of implementation, and user convenience to secure UAVs from GPS spoofing signals and external attacks."
https://ieeexplore.ieee.org/document/10109486/,A Development of an autonomous Unmanned Aerial Vehicle (UAV) that can locate and map people in flooded areas using image processing and GPS technology,"This study aims to equip an unmanned aerial vehicle (UAV), also called drone, with an onboard microcomputer that can perform autonomous surveying with image processing for human detection and quantification, Global Positioning System (GPS) technology for location tagging of detected people, as well as LiDAR sensors for obstacle detection to be used for obstacle avoidance to achieve an enhanced autonomous flight. A user interface for the system will also be developed to display the data being gathered by the drone, namely the detected people and their location, as well as monitor what the drone sees when in flight. This will be used to aid search and rescue operations in flooded areas and aims to speed up the victim search process. The study includes the development of the drone, the human detection and quantification model, the obstacle detection and avoidance algorithm, and the data display on a ground station’s Graphical User Interface (GUI)."
