股票名称,股票代码,供应商名称,采购占比,采购金额,公告时间,数据来源,供应商重复次数
深振业A,6,深圳市半岛工程管理有限公司,无,342.76,2025-06-21 00:00:00,招投标公告,2
深振业A,6,中国建筑西南设计研究院有限公司,无,,2025-06-18 00:00:00,招投标公告,1
深振业A,6,中基发展建设工程有限责任公司,无,,2025-06-18 00:00:00,招投标公告,1
深振业A,6,深圳比亚迪轨道交通运营有限公司,无,5.00,2025-06-14 00:00:00,招投标公告,1
深振业A,6,深圳市路桥建设集团有限公司,无,6269.03,2025-06-13 00:00:00,招投标公告,1
深振业A,6,贝壳找房（深圳）科技有限公司,无,1000.00,2025-06-12 00:00:00,招投标公告,1
深振业A,6,前锦网络信息技术（上海）有限公司深圳分公司,无,,2025-06-10 00:00:00,招投标公告,1
深振业A,6,深圳广田集团股份有限公司,无,,2025-06-06 00:00:00,招投标公告,3
深振业A,6,深圳市振业城市服务有限公司,无,214.64,2025-05-15 00:00:00,招投标公告,1
深振业A,6,深圳市花梨园林绿化有限公司,无,,2025-05-11 00:00:00,招投标公告,2
深振业A,6,深华电力（深圳）有限公司,无,,2025-04-29 00:00:00,招投标公告,1
深振业A,6,广东宏睿建设有限公司,无,,2025-04-29 00:00:00,招投标公告,1
深振业A,6,广东创铭建设工程有限公司,无,,2025-04-29 00:00:00,招投标公告,1
深振业A,6,宁波银行股份有限公司,无,,2025-04-27 00:00:00,招投标公告,1
深振业A,6,深圳市建工集团股份有限公司,6.16%,8647.91,2025-04-26 00:00:00,年报,2
深振业A,6,中铁十二局集团有限公司,3.82%,5360.00,2025-04-26 00:00:00,年报,1
深振业A,6,深圳市设计装饰工程有限公司,2.97%,4161.79,2025-04-26 00:00:00,年报,1
深振业A,6,湖南康盛建设工程有限公司,4.19%,5882.00,2025-04-26 00:00:00,年报,1
深振业A,6,中国建筑第六工程局有限公司,4.15%,5825.96,2025-04-26 00:00:00,年报,2
深振业A,6,深圳市普利工程咨询有限公司,无,,2025-04-25 00:00:00,招投标公告,1
深振业A,6,广东省源天工程有限公司,无,,2025-04-24 00:00:00,招投标公告,1
深振业A,6,深圳市彬绿园林有限公司,无,,2025-04-18 00:00:00,招投标公告,1
深振业A,6,广东华禹工程咨询有限公司,无,,2025-04-15 00:00:00,招投标公告,1
深振业A,6,深圳格宁照明电器有限公司,无,,2025-04-03 00:00:00,招投标公告,1
深振业A,6,欧普智慧照明科技有限公司,无,,2025-02-20 00:00:00,招投标公告,1
深振业A,6,中深建业建设集团有限公司,无,,2025-02-20 00:00:00,招投标公告,1
深振业A,6,深圳市建设（集团）有限公司,无,,2025-02-20 00:00:00,招投标公告,1
深振业A,6,深圳市深港建筑集团有限公司,无,,2025-02-20 00:00:00,招投标公告,1
深振业A,6,深圳榕亨实业集团有限公司,无,,2025-02-20 00:00:00,招投标公告,1
深振业A,6,深圳创茂建设工程有限公司,无,,2025-02-20 00:00:00,招投标公告,1
深振业A,6,深圳市广汇源水利建筑工程有限公司,无,,2025-02-20 00:00:00,招投标公告,1
深振业A,6,深圳市振业商业运营管理有限公司,无,,2025-02-08 00:00:00,招投标公告,2
深振业A,6,深圳市罗湖区住房和建设局,无,,2025-01-22 00:00:00,招投标公告,1
深振业A,6,立信会计师事务所（特殊普通合伙）深圳分所,无,,2025-01-13 00:00:00,招投标公告,1
深振业A,6,中机华南建设（深圳）有限公司,无,,2025-01-10 00:00:00,招投标公告,2
深振业A,6,杭州同花顺数据开发有限公司,无,2.20,2025-01-08 00:00:00,招投标公告,1
深振业A,6,深圳众大建设工程有限公司,无,,2025-01-03 00:00:00,招投标公告,1
深振业A,6,深圳市中饰南方建设工程有限公司,无,,2025-01-03 00:00:00,招投标公告,1
深振业A,6,深圳特艺达建工集团有限公司,无,,2025-01-03 00:00:00,招投标公告,1
深振业A,6,深圳市建艺装饰集团股份有限公司,无,,2025-01-03 00:00:00,招投标公告,1
深振业A,6,德才装饰股份有限公司,无,,2025-01-03 00:00:00,招投标公告,1
深振业A,6,广东省浩盛智造建设集团有限公司,无,,2025-01-03 00:00:00,招投标公告,1
深振业A,6,深圳市金众装饰工程有限公司,无,,2025-01-03 00:00:00,招投标公告,1
深振业A,6,深圳中壹建设（集团）有限公司,无,,2025-01-03 00:00:00,招投标公告,1
深振业A,6,广东省建筑装饰集团公司,无,,2025-01-03 00:00:00,招投标公告,1
深振业A,6,深圳市中航科建建设集团有限公司,无,,2025-01-03 00:00:00,招投标公告,1
深振业A,6,深圳市晶宫建筑装饰集团有限公司,无,,2025-01-03 00:00:00,招投标公告,1
深振业A,6,深圳市建筑装饰（集团）有限公司,无,,2025-01-03 00:00:00,招投标公告,1
深振业A,6,深圳市梵森建筑装饰工程有限公司,无,,2025-01-03 00:00:00,招投标公告,1
深振业A,6,深圳粤航建设集团有限公司,无,,2025-01-03 00:00:00,招投标公告,1
深振业A,6,深圳市建工集团股份有限公司,无,,2024-12-21 00:00:00,招投标公告,6
深振业A,6,深圳市中深建装饰设计工程有限公司,无,,2024-12-21 00:00:00,招投标公告,2
深振业A,6,深圳市振业商业运营管理有限公司,无,,2024-12-20 00:00:00,招投标公告,5
深振业A,6,中众建设（深圳）集团股份有限公司,无,,2024-12-20 00:00:00,招投标公告,2
深振业A,6,深圳金鹏佳装饰集团有限公司,无,,2024-12-20 00:00:00,招投标公告,1
深振业A,6,深圳市兴龙建设集团有限公司,无,,2024-12-20 00:00:00,招投标公告,1
深振业A,6,深圳市德勤建工集团有限公司,无,,2024-12-20 00:00:00,招投标公告,2
深振业A,6,广东构厦建设集团有限公司,无,,2024-12-20 00:00:00,招投标公告,1
深振业A,6,深圳市嘉闰州生态建工有限公司,无,,2024-12-20 00:00:00,招投标公告,1
深振业A,6,中机华南建设（深圳）有限公司,无,,2024-12-20 00:00:00,招投标公告,1
深振业A,6,深圳市梵森建筑装饰工程有限公司,无,,2024-12-20 00:00:00,招投标公告,1
深振业A,6,广东省建筑装饰集团公司,无,,2024-12-20 00:00:00,招投标公告,1
深振业A,6,深圳市晶宫建筑装饰集团有限公司,无,,2024-12-20 00:00:00,招投标公告,1
深振业A,6,深圳市建筑装饰（集团）有限公司,无,,2024-12-20 00:00:00,招投标公告,1
深振业A,6,深圳中壹建设（集团）有限公司,无,,2024-12-20 00:00:00,招投标公告,1
深振业A,6,深圳市金众装饰工程有限公司,无,,2024-12-20 00:00:00,招投标公告,2
深振业A,6,深圳市湛艺建设集团有限公司,无,,2024-12-20 00:00:00,招投标公告,1
深振业A,6,深圳市中航科建建设集团有限公司,无,,2024-12-20 00:00:00,招投标公告,2
深振业A,6,深圳市博大建设集团有限公司,无,,2024-12-20 00:00:00,招投标公告,3
深振业A,6,深圳市华南装饰集团股份有限公司,无,,2024-12-20 00:00:00,招投标公告,1
深振业A,6,深圳市德恒佳装饰工程有限公司,无,,2024-12-20 00:00:00,招投标公告,1
深振业A,6,深圳联丰建设集团有限公司,无,,2024-12-20 00:00:00,招投标公告,1
深振业A,6,深圳市建艺装饰集团股份有限公司,无,,2024-12-20 00:00:00,招投标公告,1
深振业A,6,上海市建筑装饰工程集团有限公司,无,,2024-12-20 00:00:00,招投标公告,1
深振业A,6,深圳长城装饰集团有限公司,无,,2024-12-20 00:00:00,招投标公告,1
深振业A,6,深圳市特艺达装饰设计工程有限公司,无,,2024-12-20 00:00:00,招投标公告,1
深振业A,6,深圳市格瑞建设集团有限公司,无,,2024-12-20 00:00:00,招投标公告,1
深振业A,6,深圳广田集团股份有限公司,无,,2024-12-20 00:00:00,招投标公告,1
深振业A,6,深圳三图建设集团有限公司,无,,2024-12-20 00:00:00,招投标公告,1
深振业A,6,深圳市万德建设集团有限公司,无,,2024-12-20 00:00:00,招投标公告,1
深振业A,6,德才装饰股份有限公司,无,,2024-12-20 00:00:00,招投标公告,1
深振业A,6,深圳粤航建设集团有限公司,无,,2024-12-20 00:00:00,招投标公告,1
深振业A,6,深圳市卓艺建设装饰工程股份有限公司,无,,2024-12-20 00:00:00,招投标公告,1
深振业A,6,广东省浩盛智造建设集团有限公司,无,,2024-12-20 00:00:00,招投标公告,1
深振业A,6,深圳市新达基建设集团有限公司,无,,2024-12-20 00:00:00,招投标公告,4
深振业A,6,深圳众大建设工程有限公司,无,,2024-12-20 00:00:00,招投标公告,1
深振业A,6,深圳市中饰南方建设工程有限公司,无,,2024-12-20 00:00:00,招投标公告,1
深振业A,6,广州珠江建筑装饰有限公司,无,,2024-12-20 00:00:00,招投标公告,1
深振业A,6,深圳国投物联网络股份有限公司,无,,2024-12-17 00:00:00,招投标公告,1
深振业A,6,智讯控股（广州）有限责任公司,无,,2024-12-04 00:00:00,招投标公告,1
深振业A,6,深圳市信宇建筑工程有限公司,无,,2024-09-11 00:00:00,招投标公告,4
深振业A,6,深圳市合创建设工程顾问有限公司,无,,2024-09-11 00:00:00,招投标公告,2
深振业A,6,深圳市和域城建筑设计有限公司,无,,2024-09-11 00:00:00,招投标公告,1
深振业A,6,深圳市英来工程咨询有限公司,无,,2024-09-11 00:00:00,招投标公告,1
深振业A,6,广东中沃建工集团有限公司,无,,2024-09-11 00:00:00,招投标公告,3
深振业A,6,深圳市第一建筑工程有限公司,无,,2024-09-11 00:00:00,招投标公告,1
深振业A,6,深圳市城市规划设计研究院股份有限公司,无,,2024-09-10 00:00:00,招投标公告,2
深振业A,6,深圳市栋森工程项目管理有限公司,无,,2024-09-09 00:00:00,招投标公告,1
深振业A,6,深圳华森建筑与工程设计顾问有限公司,无,,2024-09-09 00:00:00,招投标公告,2
深振业A,6,深圳市通众广告有限公司,无,,2024-09-09 00:00:00,招投标公告,1
深振业A,6,深圳广铁土木工程有限公司,无,,2024-09-09 00:00:00,招投标公告,1
深振业A,6,深圳市路桥建设集团有限公司,无,,2024-09-09 00:00:00,招投标公告,3
深振业A,6,深圳市勘察测绘院（集团）有限公司,无,,2024-09-09 00:00:00,招投标公告,1
深振业A,6,深圳市英联资产评估土地房地产估价顾问有限公司,无,,2024-09-09 00:00:00,招投标公告,1
深振业A,6,深圳市午越物业管理有限公司,无,,2024-09-06 00:00:00,招投标公告,1
深振业A,6,北京德恒（深圳）律师事务所,无,14.80,2024-09-05 00:00:00,招投标公告,1
深振业A,6,深圳市中为物联有限公司,无,93.80,2024-08-29 00:00:00,招投标公告,1
深振业A,6,深圳瑞霖标能源科技有限公司,无,,2024-08-27 00:00:00,招投标公告,1
深振业A,6,深圳市中装市政园林工程有限公司,无,,2024-08-27 00:00:00,招投标公告,2
深振业A,6,深圳市高能量实业有限公司,无,,2024-08-26 00:00:00,招投标公告,1
深振业A,6,深圳市木兰文化公关策划有限公司,无,,2024-08-26 00:00:00,招投标公告,1
深振业A,6,深圳市富威广告有限公司,无,,2024-08-26 00:00:00,招投标公告,1
深振业A,6,深圳市万卉园景观工程有限公司,无,,2024-08-14 00:00:00,招投标公告,1
深振业A,6,深圳市森泰环境建设有限公司,无,,2024-08-14 00:00:00,招投标公告,1
深振业A,6,深圳市绿园盛通建设有限公司,无,,2024-08-14 00:00:00,招投标公告,1
深振业A,6,深圳鹏基园林有限公司,无,,2024-08-14 00:00:00,招投标公告,1
深振业A,6,深圳市明通建设工程有限公司,无,,2024-08-02 00:00:00,招投标公告,2
深振业A,6,深圳千里马装饰集团有限公司,无,,2024-08-02 00:00:00,招投标公告,2
深振业A,6,广东富盈建设有限公司,无,,2024-07-31 00:00:00,招投标公告,1
深振业A,6,深圳市森斯环境艺术工程有限公司,无,,2024-07-31 00:00:00,招投标公告,1
深振业A,6,深圳市深港建筑集团有限公司,无,,2024-07-31 00:00:00,招投标公告,1
深振业A,6,深圳创茂建设工程有限公司,无,,2024-07-31 00:00:00,招投标公告,1
深振业A,6,深圳市特区建工能源建设集团有限公司,无,,2024-07-31 00:00:00,招投标公告,1
深振业A,6,中深建业建设集团有限公司,无,,2024-07-31 00:00:00,招投标公告,2
深振业A,6,深圳市建安（集团）股份有限公司,无,,2024-07-31 00:00:00,招投标公告,1
深振业A,6,深圳市广汇源水利建筑工程有限公司,无,,2024-07-31 00:00:00,招投标公告,1
深振业A,6,中铁十六局集团有限公司,无,,2024-07-31 00:00:00,招投标公告,1
深振业A,6,广东联富建设工程有限公司,无,,2024-07-29 00:00:00,招投标公告,1
深振业A,6,深圳市蛇口建筑安装工程有限公司,无,,2024-07-25 00:00:00,招投标公告,1
深振业A,6,深圳市恒晟建设科技集团有限公司,无,,2024-07-25 00:00:00,招投标公告,3
深振业A,6,深圳市泰源佳建设工程有限公司,无,,2024-07-25 00:00:00,招投标公告,1
深振业A,6,深圳市建匠科工有限公司,无,,2024-07-25 00:00:00,招投标公告,1
深振业A,6,深圳上川建设集团有限公司,无,,2024-07-25 00:00:00,招投标公告,1
深振业A,6,深圳鹏源建工（集团）有限公司,无,,2024-07-25 00:00:00,招投标公告,1
深振业A,6,深圳市天惠建筑工程有限公司,无,,2024-07-25 00:00:00,招投标公告,1
深振业A,6,深圳广信建设（集团）有限公司,无,,2024-07-25 00:00:00,招投标公告,1
深振业A,6,深圳汉唐建设集团有限公司,无,,2024-07-25 00:00:00,招投标公告,1
深振业A,6,深圳市佳泰业建设有限公司,无,,2024-07-25 00:00:00,招投标公告,1
深振业A,6,深圳市诚信鸿建设工程有限公司,无,,2024-07-25 00:00:00,招投标公告,3
深振业A,6,广东建安昌粤建设工程有限公司,无,,2024-07-25 00:00:00,招投标公告,1
深振业A,6,深圳市浩鹏建设工程有限公司,无,,2024-07-25 00:00:00,招投标公告,1
深振业A,6,长桥建设集团（深圳）有限公司,无,,2024-07-25 00:00:00,招投标公告,1
深振业A,6,深圳市启泰建设集团有限公司,无,,2024-07-25 00:00:00,招投标公告,1
深振业A,6,深圳市工勘建设集团有限公司,无,,2024-07-25 00:00:00,招投标公告,1
深振业A,6,深圳东诚装饰建筑集团有限公司,无,,2024-07-25 00:00:00,招投标公告,1
深振业A,6,深圳市松立建设集团有限公司,无,,2024-07-25 00:00:00,招投标公告,2
深振业A,6,中长建设工程有限公司,无,,2024-07-25 00:00:00,招投标公告,1
深振业A,6,深圳市协众建设有限公司,无,,2024-07-25 00:00:00,招投标公告,1
深振业A,6,维业建设集团股份有限公司,无,,2024-07-25 00:00:00,招投标公告,1
深振业A,6,深圳市尚荣医用工程有限公司,无,,2024-07-25 00:00:00,招投标公告,1
深振业A,6,江苏共源建筑科技有限公司,无,,2023-12-14 00:00:00,招投标公告,1
深振业A,6,深圳市建筑装饰（集团）有限公司,无,,2023-11-07 00:00:00,招投标公告,1
深振业A,6,广东省誉质工程建设有限公司,无,,2023-11-03 00:00:00,招投标公告,1
深振业A,6,深圳远鹏装饰集团有限公司,无,,2023-10-24 00:00:00,招投标公告,1
深振业A,6,深圳市华杰建设集团有限公司,无,,2023-10-24 00:00:00,招投标公告,3
深振业A,6,广东腾美建设工程有限公司,无,,2023-10-24 00:00:00,招投标公告,1
深振业A,6,深圳市晶宫建筑装饰集团有限公司,无,,2023-10-24 00:00:00,招投标公告,1
深振业A,6,深圳市宝鹰建设集团股份有限公司,无,,2023-10-24 00:00:00,招投标公告,1
深振业A,6,深圳市德恒佳装饰工程有限公司,无,,2023-10-24 00:00:00,招投标公告,1
深振业A,6,深圳中壹建设（集团）有限公司,无,,2023-10-24 00:00:00,招投标公告,1
深振业A,6,深圳怀新企业投资顾问股份有限公司,无,,2023-10-18 00:00:00,招投标公告,1
深振业A,6,深圳市勘察研究院有限公司,无,,2023-10-16 00:00:00,招投标公告,1
深振业A,6,北京市中伦（深圳）律师事务所,无,40.00,2023-10-07 00:00:00,招投标公告,1
深振业A,6,广州中望龙腾软件股份有限公司,无,,2023-09-21 00:00:00,招投标公告,1
深振业A,6,深圳市东大智勇工程有限公司,无,,2023-09-12 00:00:00,招投标公告,2
深振业A,6,北京瑞达恒建筑咨询有限公司,无,,2023-09-07 00:00:00,招投标公告,1
深振业A,6,深圳市建匠工程有限公司,无,,2023-08-29 00:00:00,招投标公告,1
深振业A,6,深圳市栋森工程项目管理有限公司,无,,2023-08-23 00:00:00,招投标公告,1
深振业A,6,北京市中闻（深圳）律师事务所,无,,2023-08-22 00:00:00,招投标公告,1
深振业A,6,深圳市泰然生态环境咨询有限公司,无,,2023-08-21 00:00:00,招投标公告,1
深振业A,6,深圳市城市规划设计研究院股份有限公司,无,,2023-08-18 00:00:00,招投标公告,1
深振业A,6,深圳市勘察测绘院（集团）有限公司,无,,2023-08-18 00:00:00,招投标公告,1
深振业A,6,深圳市新城市规划建筑设计股份有限公司,无,,2023-08-08 00:00:00,招投标公告,1
深振业A,6,深圳翰博设计股份有限公司,无,,2023-08-08 00:00:00,招投标公告,1
深振业A,6,深圳市蕾奥规划设计咨询股份有限公司,无,,2023-08-08 00:00:00,招投标公告,1
深振业A,6,深圳市建星项目管理顾问有限公司,无,,2023-08-08 00:00:00,招投标公告,2
深振业A,6,深圳市海德伦工程咨询有限公司,无,,2023-08-08 00:00:00,招投标公告,1
深振业A,6,国众联建设工程管理顾问有限公司,无,,2023-08-08 00:00:00,招投标公告,1
深振业A,6,深圳市建锋工程造价咨询有限公司,无,,2023-08-08 00:00:00,招投标公告,1
深振业A,6,新誉时代工程咨询有限公司,无,,2023-08-08 00:00:00,招投标公告,1
深振业A,6,深圳市中联建工程项目管理有限公司,无,,2023-08-08 00:00:00,招投标公告,2
深振业A,6,深圳市祺骏建设工程顾问有限公司,无,,2023-08-08 00:00:00,招投标公告,2
深振业A,6,深圳市建审工程咨询有限公司,无,,2023-08-08 00:00:00,招投标公告,1
深振业A,6,深圳前海行工程顾问有限公司,无,,2023-08-08 00:00:00,招投标公告,1
深振业A,6,深圳市国晨工程造价咨询有限公司,无,,2023-08-08 00:00:00,招投标公告,1
深振业A,6,深圳市天旭建设工程造价咨询有限公司,无,,2023-08-08 00:00:00,招投标公告,1
深振业A,6,深圳市普利工程咨询有限公司,无,,2023-08-08 00:00:00,招投标公告,1
深振业A,6,广东鲁班行技术管理有限公司,无,,2023-08-08 00:00:00,招投标公告,2
深振业A,6,深圳市广诚工程顾问有限公司,无,,2023-08-08 00:00:00,招投标公告,1
深振业A,6,深圳市丰浩达工程项目管理有限公司,无,,2023-08-08 00:00:00,招投标公告,1
深振业A,6,深圳市深水工程造价咨询有限公司,无,,2023-08-08 00:00:00,招投标公告,1
深振业A,6,深圳市振强建设工程管理有限公司,无,,2023-08-08 00:00:00,招投标公告,2
深振业A,6,深圳市中建达工程项目管理有限公司,无,,2023-08-08 00:00:00,招投标公告,1
深振业A,6,深圳市成效项目管理有限公司,无,,2023-08-08 00:00:00,招投标公告,1
深振业A,6,深圳市诚信行工程咨询有限公司,无,,2023-08-08 00:00:00,招投标公告,1
深振业A,6,华联世纪工程咨询股份有限公司,无,,2023-08-08 00:00:00,招投标公告,1
深振业A,6,深圳市合创建设工程顾问有限公司,无,,2023-08-08 00:00:00,招投标公告,2
深振业A,6,深圳市国建工程造价咨询有限公司,无,,2023-08-08 00:00:00,招投标公告,1
深振业A,6,深圳通嘉工程监理咨询有限公司,无,,2023-08-08 00:00:00,招投标公告,1
深振业A,6,深圳市中安项目管理有限公司,无,,2023-08-08 00:00:00,招投标公告,2
深振业A,6,深圳市建衡达工程造价咨询有限公司,无,,2023-08-08 00:00:00,招投标公告,1
深振业A,6,深圳市特发工程建设监理有限公司,无,,2023-08-08 00:00:00,招投标公告,1
深振业A,6,广东有色工程勘察设计院,无,,2023-08-08 00:00:00,招投标公告,1
深振业A,6,深圳市工勘岩土集团有限公司,无,,2023-08-08 00:00:00,招投标公告,2
深振业A,6,建设综合勘察研究设计院有限公司,无,,2023-08-08 00:00:00,招投标公告,1
深振业A,6,深圳市大升勘测技术有限公司,无,,2023-08-08 00:00:00,招投标公告,1
深振业A,6,西北综合勘察设计研究院,无,,2023-08-08 00:00:00,招投标公告,1
深振业A,6,深圳市岩土综合勘察设计有限公司,无,,2023-08-08 00:00:00,招投标公告,1
深振业A,6,江苏南京地质工程勘察院,无,,2023-08-08 00:00:00,招投标公告,1
深振业A,6,湖北中广公路勘察设计有限公司,无,,2023-08-08 00:00:00,招投标公告,1
深振业A,6,西城工程设计集团有限公司,无,,2023-08-08 00:00:00,招投标公告,1
深振业A,6,中国市政工程东北设计研究总院有限公司,无,,2023-08-08 00:00:00,招投标公告,1
深振业A,6,佳风工程设计有限公司,无,,2023-08-08 00:00:00,招投标公告,1
深振业A,6,上海建工四建集团有限公司,无,,2023-08-03 00:00:00,招投标公告,1
深振业A,6,广东省基础工程集团有限公司,无,,2023-08-03 00:00:00,招投标公告,1
深振业A,6,深圳市特皓建设基础工程有限公司,无,,2023-08-03 00:00:00,招投标公告,1
深振业A,6,中国五冶集团有限公司,无,,2023-08-03 00:00:00,招投标公告,1
深振业A,6,深圳百勤建设工程有限公司,无,,2023-08-03 00:00:00,招投标公告,2
深振业A,6,中国建筑第七工程局有限公司,无,,2023-08-03 00:00:00,招投标公告,1
深振业A,6,中核华泰建设有限公司,无,,2023-08-03 00:00:00,招投标公告,3
深振业A,6,中建二局第二建筑工程有限公司,无,,2023-08-03 00:00:00,招投标公告,2
深振业A,6,中国地质工程集团有限公司,无,,2023-08-03 00:00:00,招投标公告,1
深振业A,6,中国建筑技术集团有限公司,无,,2023-08-03 00:00:00,招投标公告,1
深振业A,6,中国建筑第四工程局有限公司,无,,2023-08-03 00:00:00,招投标公告,1
深振业A,6,深圳市正大建业建筑工程有限公司,无,,2023-08-03 00:00:00,招投标公告,1
深振业A,6,中国建筑第五工程局有限公司,无,,2023-08-03 00:00:00,招投标公告,1
深振业A,6,深圳市南华岩土工程有限公司,无,,2023-08-03 00:00:00,招投标公告,2
深振业A,6,中铁广州工程局集团深圳工程有限公司,无,,2023-08-03 00:00:00,招投标公告,1
深振业A,6,深圳宏业基岩土科技股份有限公司,无,,2023-08-03 00:00:00,招投标公告,1
深振业A,6,深圳广铁土木工程有限公司,无,,2023-08-02 00:00:00,招投标公告,1
深振业A,6,深圳市路桥建设集团有限公司,无,,2023-08-02 00:00:00,招投标公告,1
深振业A,6,深圳市森斯环境艺术工程有限公司,无,,2023-07-28 00:00:00,招投标公告,1
深振业A,6,深圳市润鹏建设工程有限公司,无,,2023-07-28 00:00:00,招投标公告,1
深振业A,6,深圳榕亨实业集团有限公司,无,,2023-07-28 00:00:00,招投标公告,1
深振业A,6,深圳市广源达建筑工程有限公司,无,,2023-07-28 00:00:00,招投标公告,2
深振业A,6,深圳市柏涛蓝森国际建筑设计有限公司,无,,2023-07-05 00:00:00,招投标公告,1
深振业A,6,深圳市安供电力技术有限公司,无,,2023-07-03 00:00:00,招投标公告,2
深振业A,6,深圳中绿环境集团有限公司,无,,2023-06-25 00:00:00,招投标公告,1
深振业A,6,深圳广信建设（集团）有限公司,无,,2023-06-25 00:00:00,招投标公告,1
深振业A,6,深圳市诚宇建设集团有限公司,无,,2023-06-25 00:00:00,招投标公告,1
深振业A,6,深圳市升源园林生态有限公司,无,,2023-06-25 00:00:00,招投标公告,1
深振业A,6,深圳市汇宇建筑工程设计有限公司,无,,2023-06-21 00:00:00,招投标公告,1
深振业A,6,深圳机械院建筑设计有限公司,无,,2023-06-21 00:00:00,招投标公告,1
深振业A,6,深圳市建筑设计研究总院有限公司,无,,2023-06-21 00:00:00,招投标公告,2
深振业A,6,广东新广厦建筑设计院有限公司,无,,2023-06-21 00:00:00,招投标公告,1
深振业A,6,深圳大学建筑设计研究院有限公司,无,,2023-06-21 00:00:00,招投标公告,1
